mineral_name,mineral_group,mineral_frequency,sample_label,rock_name,classification,latitude,longitude,doi/ref,igsn,analytical_method,data_source,SiO2,TiO2,Al2O3,FeO,MnO,MgO,Cr2O3,Fe2O3,CaO,Na2O,K2O,P2O5,NiO,BaO,CO2,SO3,SO2,PbO,SrO,ZrO2,Nb2O5,B2O3,WO3,As2O5,ZnO,MoO3,CuO,CdO,Mn2O3,Cu2O,SnO,BeO,SnO2,H2O,F,Cl,Si,Ti,Al,Fe,S,C,Cu,Pb,Zn,Co,Ni,As,Ag,Sb,Hg,Bi,Te,Mo,Mn,Mg,Ca,Na,K,Cr,Sr,Ba,Y2O3,Sc2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Gd2O3,Dy2O3,ThO2,UO2,Tb2O3,V2O5,Li,PbO2,TeO2,V2O3,MnO2,Li2O,Cs2O,GeO2,Rb2O,NH42O,Ti2O3
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,86.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.06,,,,,,,,86.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,86.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93,,,,,,,,86.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03,,,,,,,,86.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85,,,,,,,,85.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,,,,,,85.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93,,,,,,,,87.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.04,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.06,,,,,,,,85.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,53.631,0.126,2.057,14.966,0.531,14.054,,,13.38,0.2,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,55.377,0.061,1.023,15.336,0.186,14.378,,,12.371,0.056,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,54.755,0.164,2.034,13.611,,15.294,,,13.404,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,53.849,0.584,2.168,17.126,,14.392,0.024,,11.341,0.327,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,50.995,0.121,2.695,16.138,0.723,13.546,,,12.269,0.38,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,52.118,0.968,3.053,8.834,,15.238,,,18.353,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,55.821,0.07,1.418,12,0.042,16.583,0.018,,13.163,0.126,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,56.632,,1.012,11.673,,17.75,,,12.016,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,54.295,0.045,4.359,9.768,,21.88,,,8.698,0.726,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,55.292,0.193,3.016,10.852,,16.607,,,13.141,0.156,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,53.053,0.326,3.103,19.109,0.645,13.917,,,8.291,0.34,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,55.113,0.198,2.015,11.039,0.802,17.448,,,12.358,0.389,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,,8.209,0.871,57.207,0.367,19.561,0.068,,0.039,0.207,12.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,53.752,0.258,3.076,13.27,0.184,16.118,,,12.11,0.395,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,53.355,0.15,3.085,13.171,0.285,16.207,,,12.168,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,54.743,0.06,2.052,14.551,0.282,14.85,0.041,,12.41,0.29,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,Common,229 LOMROG09-PC05 218.7-222 cm 29,Nan,Not given,88.7,58.51,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,47.373,,0.27,2.671,,18.959,,,9.519,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,56.053,0.167,2.033,12.529,0.365,19.108,,,8.851,0.479,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicate,,,,,,,,,,,50.378,0.276,3.054,14.963,0.795,15.099,,,11.191,1.762,0.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.73,55.98,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.46,56.33,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.52,57.18,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.93,57.04,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.32,55.78,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.37,56.91,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.51,57.16,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.37,56.15,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.89,56.98,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.29,56.17,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.4,56.13,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.63,57.24,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.17,57.62,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.31,55.89,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.16,55.71,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.61,56.57,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,39.97,55.76,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.51,55.93,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.02,55.79,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamite,arsenate,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,40.69,56.71,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,17.95,,,25.69,,,,,,,,,,,,,,,51.2,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,17.93,,,25.27,,,,,,,,,,,,,,,51.45,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.46,,,25.04,,,,,,,,,,,,,,,53.09,,,,,,,,,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.55,,,25,,,,,,,,,,,,,,,52.67,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.22,,,25.15,,,,,,,,,,,,,,,52.48,,,,,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.38,,,25.81,,,,,,,,,,,,,,,51.78,,,,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.36,,,25.9,,,,,,,,,,,,,,,52.28,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,17.97,,,25.8,,,,,,,,,,,,,,,52.1,,,,,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.54,,,25.88,,,,,,,,,,,,,,,51.82,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,17.96,,,25.83,,,,,,,,,,,,,,,52.54,,,,,,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.35,,,25.53,,,,,,,,,,,,,,,52.88,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.53,,,25.14,,,,,,,,,,,,,,,51.87,,,,,,,,,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.32,,,25.7,,,,,,,,,,,,,,,51.39,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.09,,,25.32,,,,,,,,,,,,,,,51.37,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.13,,,25.19,,,,,,,,,,,,,,,51.86,,,,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.39,,,25.56,,,,,,,,,,,,,,,51.51,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.11,,,25.39,,,,,,,,,,,,,,,51.3,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.28,,,25.68,,,,,,,,,,,,,,,51.72,,,,,,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.13,,,25.06,,,,,,,,,,,,,,,52,,,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelite,arsenate,,,,,,,,,,Synthetic Data,,,,,,18.29,,,25.7,,,,,,,,,,,,,,,52.53,,,,,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. QUARTZ SYENITE,"Syenite, quartz",Not given,22.7378,34.8378,[24518] ABDEL-KARIM A.-A. (2021),Not given,Not given,GEOROC,68.243,0.011,19.087,,0.004,,,,0.023,11.605,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. ZK-37,Trachyandesite,Not given,40.67,35.83,[24969] EYUBOGLU Y. (2021),Not given,Not given,GEOROC,68.98,,20.05,,,,,,0.4471,11.36,0.0819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. 8NW,"Granite, albite",Not given,25.187,34.4758,[25381] MOUSSA H. E. (2021),Not given,Not given,GEOROC,67.822136,,20.166452,,,,,,0.109283,11.735881,0.083755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. MH10,Granite,Not given,25,34,[23975] SEDDIK A. M. A. (2020),Not given,Not given,GEOROC,68.429,0.003,20.2,,0.007,0.003,,,0.053,11.271,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. 7NW,"Granite, albite",Not given,25.187,34.4758,[25381] MOUSSA H. E. (2021),Not given,Not given,GEOROC,68.006996,,19.977219,,,,,,0.110251,11.99199,0.110187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. 18LS-3,Rhyolite,Not given,43.5,88,[23790] MEMTIMIN M. (2020),Not given,Not given,GEOROC,69.24,,18.78,,,,,,0.26,11.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. ZK-18,Trachyandesite,Not given,40.67,35.83,[24969] EYUBOGLU Y. (2021),Not given,Not given,GEOROC,67.95,,19.89,,,0.0202,,,0.6498,11.48,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. 18LS-21,Not given,Not given,43.5,88,[23790] MEMTIMIN M. (2020),Not given,Not given,GEOROC,68.72,,18.85,,,,,,0.38,11.65,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. XJ-354,Rhyodacite,Not given,43.2,84.25,[10022] WANG B. (2007),Not given,Not given,GEOROC,66.628,0.005,20.553,,,0.004,,,2.195,11.669,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. 1159,Kersantite,Not given,45.5,-64,[21629] PE-PIPER G. (2018),Not given,Not given,GEOROC,67.96,,18.93,,,,,,0.46,12.04,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. PDV-Cr-13-33/B,Dacite,Not given,44.9,35.2,[22712] POPOV D. V. (2019),Not given,Not given,GEOROC,68.22275411,,19.61264674,,,,,,0.1119365238,11.87556577,0.02409212747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. TW-4,"Syenite, quartz",Not given,28.2411,35.3917,[25856] GAHLAN H. A. (2022),Not given,Not given,GEOROC,68.399,0.002,19.321,,0.009,,,,0.026,11.429,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. ST246A,Damtjernite,Not given,55.1,-59.2,[17104] TAPPE S. (2006),Not given,Not given,GEOROC,68.25,,19.5,,,0.02,0.07,,0.04,12,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. CALCITE CARBONATE,"Carbonatite, calcite",Not given,40,79,[27127] SONG WENLEI (2023),Not given,Not given,GEOROC,67.667,,19.559,,,,,,0.106,12.697,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. CT-10,Rhyolite,Not given,-30,-54,[24366] LEITZKE F. P. (2020),Not given,Not given,GEOROC,69.64,,19.41,,,,,,0.02,11.32,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. QL4-9-1,Gabbro,Not given,32,108.5,[21281] WANG RUIRUI (2017),Not given,Not given,GEOROC,68.318,,19.274,,,,,,0.113,11.178,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albite,tectosilicate,Abundant,samp. ML807-15,Rhyolite,Not given,30,91,[22771] WANG CHAO (2019),Not given,Not given,GEOROC,68.58,,19.639,,,,,,0.115,12.059,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
